SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
8415,"1","11","Basic","","1981","Basic Souvenir Box",,38,,,,,"http://images.brickset.com/sets/images/1-11.jpg","No","No",0
845,"226","1","Gear","Books/Ideas book","1981","Building Ideas Book",,,,2.4,,,"http://images.brickset.com/sets/images/226-1.jpg","No","No",0
1395,"322","1","Basic","","1981","Basic Set",,82,,6,,,"http://images.brickset.com/sets/images/322-1.jpg","No","No",0
1462,"333","1","Basic","","1981","Basic Set",2,98,,10,,,"http://images.brickset.com/sets/images/333-1.jpg","No","No",0
1636,"355","2","Basic","","1981","Universal Building Set",2,181,,18.5,,,"http://images.brickset.com/sets/images/355-2.jpg","No","No",0
1721,"366","1","Basic","","1981","Basic Building Set",2,184,,,,,"http://images.brickset.com/sets/images/366-1.jpg","No","No",0
2780,"544","1","Basic","","1981","Basic Building Set, 5+",1,141,,9.5,,,"http://images.brickset.com/sets/images/544-1.jpg","No","No",0
2806,"555","2","Basic","","1981","Basic Building Set, 5+",2,246,,,,,"http://images.brickset.com/sets/images/555-2.jpg","No","No",0
2824,"566","1","Basic","","1981","Basic Building Set, 5+",2,288,,26,,,"http://images.brickset.com/sets/images/566-1.jpg","No","No",0
2850,"577","1","Basic","","1981","Basic Building Set, 5+",2,384,,38,,,"http://images.brickset.com/sets/images/577-1.jpg","No","No",0
4517,"890","1","Basic","Supplementaries","1981","Wind-Up Motor",,10,,,,,"http://images.brickset.com/sets/images/890-1.jpg","No","No",0
7852,"1060","1","Dacta","","1981","Road Plates and Signs",,30,,,,,"http://images.brickset.com/sets/images/1060-1.jpg","No","No",0
7854,"1064","1","Dacta","","1981","Dacta Buildings",,,,,,,"http://images.brickset.com/sets/images/1064-1.jpg","No","No",0
432,"1581","1","Promotional","Ferries","1981","Silja Line Ferry",,182,,,,,"http://images.brickset.com/sets/images/1581-1.jpg","No","No",0
872,"2330","1","Duplo","","1981","Basic Set",1,9,,,,,"http://images.brickset.com/sets/images/2330-1.jpg","No","No",0
880,"2340","1","Duplo","","1981","Basic Set",1,17,,,,,,"No","No",0
886,"2350","1","Duplo","","1981","Basic Building Set",2,22,,,,,"http://images.brickset.com/sets/images/2350-1.jpg","No","No",0
889,"2360","1","Duplo","","1981","Basic Set",3,32,,,,,,"No","No",0
894,"2370","1","Duplo","","1981","Basic Set",4,45,,,,,,"No","No",0
345,"2621","2","Duplo","","1981","Tractor",1,2,,1.7,,,,"No","No",0
976,"2624","1","Duplo","","1981","Helicopter",1,2,,,,,,"No","No",0
995,"2644","1","Duplo","","1981","Service Station",2,14,,,,,,"No","No",0
1666,"3601","1","Fabuland","","1981","Elton Elephant",1,6,,,,,"http://images.brickset.com/sets/images/3601-1.jpg","No","No",0
1668,"3603","1","Fabuland","","1981","Boris Bulldog and Mailbox",1,5,,,,,"http://images.brickset.com/sets/images/3603-1.jpg","No","No",0
4993,"3615","1","Fabuland","","1981","Percy Pig",1,4,,,,,"http://images.brickset.com/sets/images/3615-1.jpg","No","No",0
1695,"3628","1","Fabuland","","1981","Perry Panda and Chester Chimp",2,3,,,,,"http://images.brickset.com/sets/images/3628-1.jpg","No","No",0
1696,"3629","1","Fabuland","","1981","Barney Bear",1,16,,,,,"http://images.brickset.com/sets/images/3629-1.jpg","No","No",0
1701,"3635","1","Fabuland","","1981","Bonnie Bunny's Camper",1,25,,,,,"http://images.brickset.com/sets/images/3635-1.jpg","No","No",0
3036,"6075","2","Castle","Classic","1981","Castle",14,767,,48,,,"http://images.brickset.com/sets/images/6075-2.jpg","No","No",0
3038,"6077","1","Castle","Classic","1981","Knight's Procession",6,48,,5,,,"http://images.brickset.com/sets/images/6077-1.jpg","No","No",0
3047,"6083","1","Castle","Classic","1981","Knight's Joust",6,211,,16,,,"http://images.brickset.com/sets/images/6083-1.jpg","No","No",0
3217,"6365","1","Town","Leisure","1981","Summer Cottage",1,144,,,,,"http://images.brickset.com/sets/images/6365-1.jpg","No","No",0
3237,"6382","1","Town","Fire","1981","Fire Station",4,390,,25,,,"http://images.brickset.com/sets/images/6382-1.jpg","No","No",0
3238,"6383","1","Town","Maintenance","1981","Public Works Center",4,421,,30,,,"http://images.brickset.com/sets/images/6383-1.jpg","No","No",0
3455,"6600","1","Town","Classic","1981","Police Patrol",1,23,,,,,"http://images.brickset.com/sets/images/6600-1.jpg","No","No",0
3459,"6602","1","Town","Classic","1981","Fire Unit I",1,29,,,,,"http://images.brickset.com/sets/images/6602-1.jpg","No","No",0
3467,"6610","1","Town","Shops and Services","1981","Gas Pumps",1,29,,,,,"http://images.brickset.com/sets/images/6610-1.jpg","No","No",0
3468,"6611","1","Town","Fire","1981","Fire Chief's Car",1,20,,,,,"http://images.brickset.com/sets/images/6611-1.jpg","No","No",0
3483,"6626","1","Town","Classic","1981","Rescue Helicopter",,37,,,,,"http://images.brickset.com/sets/images/6626-1.jpg","No","No",0
3485,"6628","1","Town","Vehicles","1981","Shell Tow Truck",,38,,,,,"http://images.brickset.com/sets/images/6628-1.jpg","No","No",0
3486,"6629","1","Town","Medical","1981","Ambulance",1,39,,,,,"http://images.brickset.com/sets/images/6629-1.jpg","No","No",0
3487,"6630","1","Town","Construction","1981","Bucket Loader",1,34,,,,,"http://images.brickset.com/sets/images/6630-1.jpg","No","No",0
3504,"6650","1","Town","Fire","1981","Fire and Rescue Van",1,46,,,,,"http://images.brickset.com/sets/images/6650-1.jpg","No","No",0
3535,"6680","1","Town","Medical","1981","Ambulance",2,63,,,,,"http://images.brickset.com/sets/images/6680-1.jpg","No","No",0
3536,"6681","1","Town","Police","1981","Police Van",1,82,,,,,"http://images.brickset.com/sets/images/6681-1.jpg","No","No",0
3546,"6691","1","Town","Medical","1981","Red Cross Helicopter",2,107,,,,,"http://images.brickset.com/sets/images/6691-1.jpg","No","No",0
3616,"6801","1","Space","Classic","1981","Moon Buggy",1,22,,,,,"http://images.brickset.com/sets/images/6801-1.jpg","No","No",0
3636,"6822","1","Space","Classic","1981","Space Digger",1,33,,,,,"http://images.brickset.com/sets/images/6822-1.jpg","No","No",0
3653,"6842","1","Space","Classic","1981","Small Space Shuttle Craft",1,46,,,,,"http://images.brickset.com/sets/images/6842-1.jpg","No","No",0
3669,"6870","1","Space","Classic","1981","Space Probe Launcher",1,60,,,,,"http://images.brickset.com/sets/images/6870-1.jpg","No","No",0
3711,"6927","1","Space","Classic","1981","All-Terrain Vehicle",2,170,,14.5,,,"http://images.brickset.com/sets/images/6927-1.jpg","No","No",0
3713,"6929","1","Space","Classic","1981","Star Fleet Voyager",1,242,,15,,,"http://images.brickset.com/sets/images/6929-1.jpg","No","No",0
3997,"7725","1","Trains","4.5/12 V","1981","Electric Passenger Train Set",1,485,,70,,,"http://images.brickset.com/sets/images/7725-1.jpg","No","No",0
4007,"7777","1","Gear","Books/Ideas book","1981","Trains Ideas Book",,,,,,,"http://images.brickset.com/sets/images/7777-1.jpg","No","No",0
4044,"7862","1","Trains","4.5/12 V","1981","Remote Controlled Decoupling and Signal 12 V",,16,,,,,"http://images.brickset.com/sets/images/7862-1.jpg","No","No",0
4434,"8710","1","Technic","Supplementary","1981","Technical Elements",,124,,,,,"http://images.brickset.com/sets/images/8710-1.jpg","No","No",0
4486,"8844","1","Technic","","1981","Helicopter",,316,,,,,"http://images.brickset.com/sets/images/8844-1.jpg","No","No",0
4487,"8845","1","Technic","","1981","Dune Buggy",,174,,20,,,"http://images.brickset.com/sets/images/8845-1.jpg","No","No",0
4490,"8848","1","Technic","","1981","Power Truck",,398,,,,,"http://images.brickset.com/sets/images/8848-1.jpg","No","No",0
4504,"8859","1","Technic","","1981","Tractor",,610,,,,,"http://images.brickset.com/sets/images/8859-1.jpg","No","No",0

