SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
428,"1576","1","Duplo","","1994","Happy Face Carry Case",,30,,,,,,"No","No",0
6317,"1701","1","Basic","","1994","Mini Box, 3+",,26,,,,,"http://images.brickset.com/sets/images/1701-1.jpg","No","No",0
516,"1702","1","Town","Fire","1994","Fire Fighter 4 x 4",1,59,,,,,"http://images.brickset.com/sets/images/1702-1.jpg","No","No",0
22502,"1703","2","Basic","","1994","Dalmatian Station Building Set",,172,,,,,,"No","No",0
519,"1704","1","Space","Ice Planet 2002","1994","(Unnamed)",1,47,,,,,"http://images.brickset.com/sets/images/1704-1.jpg","No","No",0
22503,"1705","2","Basic","","1994","Large Dinosaur Bucket",,329,,,,,,"No","No",0
22504,"1706","2","Basic","","1994","Small Bucket",,,,,,,"http://images.brickset.com/sets/images/1706-2.jpg","No","No",0
5212,"1708","2","Basic","","1994","Blue Ribbon Savings!",,650,,,,,"http://images.brickset.com/sets/images/1708-2.jpg","No","No",0
22505,"1709","2","Basic","","1994","Small Bucket",,,,,,,,"No","No",0
526,"1710","1","Town","Leisure","1994","Snowmobile",1,24,,2,,,"http://images.brickset.com/sets/images/1710-1.jpg","No","No",0
528,"1711","1","Space","Ice Planet 2002","1994","Ice Planet Scooter",1,19,,2,,,"http://images.brickset.com/sets/images/1711-1.jpg","No","No",0
530,"1712","1","Castle","Dragon Knights","1994","Crossbow Cart",1,23,,2,,,"http://images.brickset.com/sets/images/1712-1.jpg","No","No",0
532,"1713","1","Pirates","","1994","Shipwrecked Pirate",1,23,,,,,"http://images.brickset.com/sets/images/1713-1.jpg","No","No",0
22506,"1716","2","Basic","","1994","Starter Set with Building Plates",,201,,,,,,"No","No",0
541,"1720","1","Town","Bonus/Value Pack","1994","Cactus Canyon Value Pack",,133,,10,,,"http://images.brickset.com/sets/images/1720-1.jpg","No","No",0
543,"1721","1","Town","Bonus/Value Pack","1994","Sandypoint Marina Value Pack",,155,,15,,,"http://images.brickset.com/sets/images/1721-1.jpg","No","No",0
544,"1722","1","Assorted","Bonus/Value Pack","1994","Town / Space Value Pack",,106,,,,,"http://images.brickset.com/sets/images/1722-1.jpg","No","No",0
546,"1723","1","Assorted","Bonus/Value Pack","1994","Castle / Pirates Value Pack",,72,,8,,,"http://images.brickset.com/sets/images/1723-1.jpg","No","No",0
8421,"1724","1","Basic","","1994","Bird",,9,,,,,"http://images.brickset.com/sets/images/1724-1.jpg","No","No",0
8422,"1725","1","Basic","","1994","Dinosaur",,11,,,,,"http://images.brickset.com/sets/images/1725-1.jpg","No","No",0
8423,"1726","1","Basic","","1994","Girl",,7,,,,,"http://images.brickset.com/sets/images/1726-1.jpg","No","No",0
8424,"1727","2","Basic","","1994","Cow",,10,,,,,"http://images.brickset.com/sets/images/1727-2.jpg","No","No",0
551,"1729","1","Pirates","Bonus/Value Pack","1994","Barnacle Bay Value Pack",,89,,,,,"http://images.brickset.com/sets/images/1729-1.jpg","No","No",0
552,"1730","1","Town","Leisure","1994","Snow Scooter",1,24,,,,,"http://images.brickset.com/sets/images/1730-1.jpg","No","No",0
553,"1731","1","Space","Ice Planet 2002","1994","Ice Planet Scooter",1,19,,,,,"http://images.brickset.com/sets/images/1731-1.jpg","No","No",0
554,"1732","1","Castle","Dragon Knights","1994","Crossbow Cart",1,23,,,,,"http://images.brickset.com/sets/images/1732-1.jpg","No","No",0
555,"1733","1","Pirates","","1994","Shipwrecked Pirate",1,23,,,,,"http://images.brickset.com/sets/images/1733-1.jpg","No","No",0
22507,"1738","1","Duplo","","1994","Bulk Box",,,,,,,,"No","No",0
559,"1740","1","Town","Leisure","1994","(Unnamed)",1,16,,,,,"http://images.brickset.com/sets/images/1740-1.jpg","No","No",0
560,"1741","1","Town","Leisure","1994","(Unnamed)",1,36,,,,,"http://images.brickset.com/sets/images/1741-1.jpg","No","No",0
561,"1742","1","Town","Leisure","1994","(Unnamed)",1,81,,,,,"http://images.brickset.com/sets/images/1742-1.jpg","No","No",0
