20150319 order by "date added"

SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
24431,"30217","5","Duplo","Forest Animals","2015","Forest - Bear",,4,,,,,"http://images.brickset.com/sets/images/30217-1.jpg","No","No",0
24430,"30217","4","Duplo","Forest Animals","2015","Forest - Deer",,4,,,,,"http://images.brickset.com/sets/images/30217-1.jpg","No","No",0
24429,"30217","3","Duplo","Forest Animals","2015","Forest - Rabbit",,4,,,,,"http://images.brickset.com/sets/images/30217-1.jpg","No","No",0
24428,"30217","2","Duplo","Forest Animals","2015","Forest - Squirrel",,4,,,,,"http://images.brickset.com/sets/images/30217-1.jpg","No","No",0
24016,"5002145","1","Marvel Super Heroes","Guardians of the Galaxy","2014","Rocket Raccoon",1,13,4.99,4.99,,,"http://images.brickset.com/sets/images/5002145-1.jpg","No","No",0
23929,"5002144","1","Ninjago","","2014","Dareth vs. Nindroid",2,10,4.99,4.99,,,"http://images.brickset.com/sets/images/5002144-1.jpg","No","No",0
23610,"5002130","1","The Hobbit","An Unexpected Journey","2014","Good Morning Bilbo Baggins",1,4,,,,,"http://images.brickset.com/sets/images/5002130-1.jpg","No","No",0
10126,"5000202","1","The Lord of the Rings","The Fellowship of the Ring","2012","Elrond",1,6,0,0,,,"http://images.brickset.com/sets/images/5000202-1.jpg","No","No",0
23728,"40109","1","Creator","","2014","MINI Cooper Mini Model",,59,,,,,"http://images.brickset.com/sets/images/40109-1.jpg","No","No",0
23658,"40108","1","Creator","","2014","Balloon Cart",2,66,,4.99,,,"http://images.brickset.com/sets/images/40108-1.jpg","No","No",0
23606,"30197","1","Creator","Seasonal","2014","Snowman",,60,,3.99,,,"http://images.brickset.com/sets/images/30197-1.jpg","No","No",0
24321,"5002941","1","Bionicle","","2015","Bionicle Hero Pack",,9,0.01,,,0.01,"http://images.brickset.com/sets/images/5002941-1.jpg","No","No",0
24406,"5002939","1","Star Wars","Rebels","2015","The Phantom",,25,,,,,"http://images.brickset.com/sets/images/5002939-1.jpg","No","No",0
24320,"5002938","1","Star Wars","","2015","Stormtrooper Sergeant",1,5,,,,,"http://images.brickset.com/sets/images/5002938-1.jpg","No","No",0
24410,"5002919","1","Ninjago","","2015","Scenery and dagger trap",,26,,,,,"http://images.brickset.com/sets/images/5002919-1.jpg","No","No",0
24089,"40140","1","Creator","","2015","Flower Cart",1,71,0.01,4.99,,0.01,"http://images.brickset.com/sets/images/40140-1.jpg","No","No",0
24018,"4000016","1","Miscellaneous","LEGO internal","2014","Billund Airport ",,281,,,,,"http://images.brickset.com/sets/images/4000016-1.jpg","No","No",0
24130,"30313","1","City","","2015","Garbage Truck",,48,,3.49,,,"http://images.brickset.com/sets/images/30313-1.jpg","No","No",0
